iteration,split,pr_auc,alert_rate,alert_rate_on_real_traffic,real_fraud_recall_at_fpr,precision,recall,f1,auc,fp_rate_on_legit,recall_at_fpr_0.001,realised_fpr_0.001,recall_at_fpr_0.005,realised_fpr_0.005,recall_at_fpr_0.01,realised_fpr_0.01,phase
0,heldout_novel,0.03130117436593346,0.0009585587478333946,0.007374342508842685,0.14215544640277378,0.009732360097323601,0.0013333333333333333,0.0023453532688361184,0.4171554486303242,0.005563453441959648,0.0,0.000997867570670895,0.0013333333333333333,0.0049893378533544756,0.0013333333333333333,0.009992345125485264,benchmark
1,heldout_novel,0.843357385219347,0.021876148957403224,0.008092198859261,0.15804680728113263,0.8568766306373462,0.7663333333333333,0.8090797114200247,0.9671384712122041,0.005249056810104434,0.531,0.000997867570670895,0.7593333333333333,0.0049893378533544756,0.811,0.009992345125485264,benchmark
1,heldout_novel,0.7457966958322436,0.007452208661842531,0.008092198859261,0.15804680728113263,0.6407857811038353,0.7478165938864629,0.690176322418136,0.9588981320291553,0.005249056810104434,0.5229257641921398,0.000997867570670895,0.7456331877729258,0.0049893378533544756,0.8024017467248908,0.009992345125485264,pressure
2,heldout_novel,0.9068016104094637,0.027640632386154735,0.00828797786392054,0.16238081479341232,0.8591216216216216,0.8476666666666667,0.8533557046979866,0.984259044598757,0.005700147629722784,0.6773333333333333,0.000997867570670895,0.8406666666666667,0.0049893378533544756,0.879,0.009992345125485264,benchmark
2,heldout_novel,0.553466803491996,0.005602656874392483,0.00828797786392054,0.16238081479341232,0.5563829787234043,0.5709606986899564,0.5635775862068966,0.8994541126565447,0.005700147629722784,0.37336244541484714,0.000997867570670895,0.5524017467248908,0.0049893378533544756,0.6233624454148472,0.009992345125485264,pressure
3,heldout_novel,0.9241752425645627,0.029019381270024687,0.008013887257397184,0.15631320427622075,0.8662273476112027,0.8763333333333333,0.8712510356255179,0.9872886798986641,0.005549784023183334,0.7123333333333334,0.000997867570670895,0.873,0.0049893378533544756,0.9,0.009992345125485264,benchmark
3,heldout_novel,0.6482661112646606,0.006948567111015165,0.008013887257397184,0.15631320427622075,0.6073500967117988,0.6541666666666667,0.629889669007021,0.9308349622724041,0.005549784023183334,0.46041666666666664,0.000997867570670895,0.6427083333333333,0.0049893378533544756,0.684375,0.009992345125485264,pressure
4,heldout_novel,0.9318876891309396,0.02953148799831924,0.007413498309774593,0.14302224790522972,0.8406610539444964,0.8986666666666666,0.8686966328338972,0.9888408879654438,0.006985072994696266,0.7253333333333334,0.000997867570670895,0.8856666666666667,0.0049893378533544756,0.9096666666666666,0.009992345125485264,benchmark
4,heldout_novel,0.648610351955916,0.007053555774340162,0.007413498309774593,0.14302224790522972,0.5579584775086506,0.6508577194752775,0.6008383791336749,0.9030055562118225,0.006985072994696266,0.45408678102926336,0.000997867570670895,0.6256306760847629,0.0049893378533544756,0.6730575176589304,0.009992345125485264,pressure
5,heldout_novel,0.9391717554575403,0.03177687903776459,0.008039991124685121,0.1568910719445247,0.8447630922693267,0.9033333333333333,0.8730670103092784,0.9902892084495233,0.006807370550604188,0.7823333333333333,0.000997867570670895,0.8936666666666667,0.0049893378533544756,0.9146666666666666,0.009992345125485264,benchmark
5,heldout_novel,0.6996089059720276,0.007677879879636751,0.008039991124685121,0.1568910719445247,0.5732647814910026,0.70199370409234,0.6311320754716981,0.9329454909478614,0.006807370550604188,0.5204616998950682,0.000997867570670895,0.6883525708289612,0.0049893378533544756,0.727177334732424,0.009992345125485264,pressure
6,heldout_novel,0.9422220078325848,0.03244655706707285,0.006943628698591696,0.13262062987575846,0.8194278903456496,0.9166666666666666,0.8653241032095658,0.9912930495561996,0.00828366777844606,0.7993333333333333,0.000997867570670895,0.8943333333333333,0.0049893378533544756,0.922,0.009992345125485264,benchmark
6,heldout_novel,0.7204579217693926,0.008215408274764262,0.006943628698591696,0.13262062987575846,0.5388127853881278,0.7276464542651593,0.6191517271534762,0.9433949649447545,0.00828366777844606,0.5508735868448099,0.000997867570670895,0.7009249743062693,0.0049893378533544756,0.7358684480986639,0.009992345125485264,pressure
7,heldout_novel,0.9469924609261846,0.03256473554283313,0.007426550243418563,0.14331118173938168,0.8067816427945045,0.92,0.8596791776981778,0.9928178048736034,0.00903548581114331,0.8023333333333333,0.000997867570670895,0.8983333333333333,0.0049893378533544756,0.922,0.009992345125485264,benchmark
7,heldout_novel,0.6609219835288167,0.006820084812143802,0.007426550243418563,0.14331118173938168,0.47993705743509046,0.6853932584269663,0.5645534474780194,0.9312569998175363,0.00903548581114331,0.4853932584269663,0.000997867570670895,0.6584269662921348,0.0049893378533544756,0.6910112359550562,0.009992345125485264,pressure
8,heldout_novel,0.9503140488814285,0.032315247649561424,0.007191615437827114,0.13811037272464605,0.8420254699818072,0.9256666666666666,0.8818672594474436,0.9936742440811417,0.007121767182459402,0.796,0.000997867570670895,0.9126666666666666,0.0049893378533544756,0.934,0.009992345125485264,benchmark
8,heldout_novel,0.7386211796360378,0.008418780356179168,0.007191615437827114,0.13811037272464605,0.5788197251414713,0.7427385892116183,0.6506133575647433,0.9537915082394265,0.007121767182459402,0.5715767634854771,0.000997867570670895,0.7188796680497925,0.0049893378533544756,0.7603734439834025,0.009992345125485264,pressure
